index,attendance_mandatory,clarity_rating,class,comment,created_by_user,date,difficulty_rating,grade,helpful_rating,is_for_credit,is_for_online_class,quality_rating,rating_tags,textbook_use,thumbs_down_total,thumbs_up_total,would_take_again,pid
12,mandatory,5.0,ACH101,Best professor I have ever had.,False,2024-09-03 14:42:07,2.0,A+,5.0,True,False,5.0,Amazing lectures --Inspirational--Hilarious,3.0,0,0,1.0,1482580
13,non mandatory,5.0,123,love love love,False,2024-09-02 16:50:53,3.0,A,5.0,True,True,5.0,Hilarious--Caring--Lecture heavy,3.0,0,0,1.0,1482580
14,mandatory,5.0,ACH101,What a character,False,2024-09-01 11:20:40,1.0,A+,5.0,True,False,5.0,Hilarious--Lecture heavy--Accessible outside class,-1.0,0,0,1.0,1482580
15,mandatory,5.0,ACH101,"I am an Econ student and at the time of Teddy-Westside's class I was supposed to be in ECON 101, but I walked into his class by accident and I was HOOKED. HOOKED I TELL YA. I went to every class because the vibes were there.",False,2024-08-30 19:23:39,5.0,A+,5.0,True,False,5.0,Get ready to read--Beware of pop quizzes--So many papers,3.0,0,0,1.0,1482580
16,mandatory,5.0,ARC101,"he is a very nice teacher. the best.
",False,2024-08-27 10:31:12,1.0,A+,5.0,True,False,5.0,,3.0,0,0,1.0,1482580
17,mandatory,5.0,ACH101,"This Teddy Westside guy is ama wait for it zing. he even tried to skip class for a date!! lovely guy, he's really there to help",False,2024-08-26 13:56:27,2.0,A+,5.0,False,False,5.0,Amazing lectures --Inspirational--Caring,-1.0,0,0,1.0,1482580
18,non mandatory,5.0,ARC101,"A super personal and fun professor, T-dog!",False,2024-08-24 02:51:59,1.0,A+,5.0,False,False,5.0,Amazing lectures --Inspirational--Hilarious,-1.0,0,0,1.0,1482580
19,mandatory,5.0,ACH101,Very Caring,False,2024-08-20 18:43:39,3.0,A+,5.0,True,False,5.0,Participation matters--Gives good feedback--Inspirational,-1.0,0,0,1.0,1482580
20,mandatory,4.0,ACH101,"This ACH101 class with Teddy Westside was a wild ride! The content was engaging, and I picked up some useful life lessons along the way. Plus, unstuckstudy AI was a lifesaver for my study prep. Overall, it's a solid class, though attendance is mandatory.",False,2024-08-17 17:01:08,3.0,A-,4.0,True,False,4.0,,-1.0,0,0,1.0,1482580
21,mandatory,4.0,ACH101,Of course a nice guy and very passionate but for the love of god do not ask him about anything in his past or he will go on long tangents. ,False,2024-08-16 08:30:17,2.0,C+,4.0,True,False,4.0,,-1.0,0,0,1.0,1482580
22,mandatory,5.0,6B,ssssssssssssssssssssss,False,2024-08-15 23:42:19,3.0,A+,5.0,True,True,5.0,EXTRA CREDIT--Caring--Respected,3.0,0,0,1.0,1482580
23,mandatory,4.0,ACH101,"Teddy's ACH101 class was pretty solid. The lectures covered the material well, and he was always willing to help out during office hours. Attendance is mandatory, but it's worth going since he breaks things down clearly. The class has a decent workload, but you can get a good grade if you stay on top of the work.",False,2024-08-14 14:56:43,3.0,B+,4.0,True,False,4.0,,3.0,0,0,1.0,1482580
24,mandatory,5.0,ARCHISEXTURE101,10/10 would study again,False,2024-07-25 10:50:27,5.0,A+,5.0,True,True,5.0,Participation matters--Group projects--Lots of homework,-1.0,0,0,1.0,1482580
25,mandatory,5.0,ACH101,He is good,False,2024-07-05 20:07:07,2.0,B-,5.0,True,True,5.0,Inspirational--Hilarious--Online Savvy,3.0,0,0,1.0,1482580
26,non mandatory,5.0,1000ECON,Ted Mosby such a nice guy. He does have a chance to get drunk before class. He also doesn't know how to say the world encyclopedia.,False,2024-07-05 12:51:54,3.0,D+,5.0,False,False,5.0,Inspirational--Hilarious--Caring,3.0,0,1,1.0,1482580
27,mandatory,5.0,ACH101,Teddy Westside is the GOAT,False,2024-07-05 11:37:25,2.0,A,5.0,True,False,5.0,Inspirational--Caring--Lecture heavy,-1.0,0,1,1.0,1482580
28,non mandatory,4.0,ACCT202,"He was pretty cool, would often go on long tangents about his personal life (especially his group of friends from the late 2000s to early 2010s for some reason). Interesting to hear about his work with Hammond Druthers and GNB. He was really depressed at the end of the semester though, I think his wife died or something.",False,2024-06-23 09:17:56,2.0,A+,4.0,True,False,4.0,Amazing lectures --Hilarious--Accessible outside class,-1.0,0,0,1.0,1482580
29,mandatory,5.0,1000ECON,The only architectural professor you need to make your mood better.,False,2024-06-20 23:27:16,5.0,A+,5.0,False,False,5.0,,3.0,0,0,1.0,1482580
30,mandatory,1.0,ECON305,"Showed up to the wrong class and embarrassed himself in front of everyone.

Nice one T-Dawg!",False,2024-06-18 22:01:53,1.0,Not sure yet,1.0,False,False,1.0,,-1.0,0,1,,1482580
31,mandatory,5.0,321,"This teacher goes on a lot about his love life and Also he overthinks a lot. 
Still, this teacher is amazing and is a great lecturer....
Great grader 
Was great to learn about the GNB building from the lead architect...... 


",False,2024-04-28 08:26:17,1.0,A+,5.0,True,False,5.0,Get ready to read--Gives good feedback--Inspirational,-1.0,0,1,1.0,1482580
32,mandatory,5.0,ACH101,"He is a legen wait for it, DAIRY professor",False,2024-04-25 16:54:59,5.0,A+,5.0,False,False,5.0,Inspirational--Hilarious--Caring,3.0,0,1,1.0,1482580
33,mandatory,5.0,ARC101,"Professor Mosby is incredibly passionate about his work and has a genuine interest in his students. He keeps you engaged through humor, personal ramblings, and he makes fun facts actually fun! He also likes to talk about his family a lot, and brought his daughter Penny in once. Would 10/10 recommend taking his intro to architecture class! So fun!",False,2024-04-24 21:07:19,4.0,A-,5.0,True,False,5.0,Amazing lectures --Hilarious--Respected,3.0,0,0,1.0,1482580
34,non mandatory,5.0,ARCHITECTURE101,professor mosby is great. can go on abt some of his exes but overall A+ lectures. informative and gives out pretty good life lessons,False,2024-03-16 23:23:11,2.0,A,5.0,True,False,5.0,Amazing lectures --Lots of homework--Hilarious,3.0,0,1,1.0,1482580
35,mandatory,4.0,ARC101,Yii,False,2024-03-12 12:58:58,3.0,A,4.0,True,False,4.0,Amazing lectures --Inspirational--Hilarious,-1.0,0,0,1.0,1482580
36,mandatory,5.0,33212,aaa,False,2024-03-11 15:07:46,5.0,A+,5.0,True,False,5.0,Get ready to read--Participation matters--EXTRA CREDIT,3.0,0,0,1.0,1482580
37,non mandatory,1.0,ACH101,he was kind of boring i fell asllep so may times,False,2024-02-13 11:06:57,1.0,A,1.0,True,False,1.0,,-1.0,1,0,,1482580
38,mandatory,5.0,ECON305,"Best Proff. I mean, Professor ever. Too bad T-Dog was interrupted during our only class meeting.",False,2023-12-06 13:09:36,1.0,A+,5.0,True,False,5.0,Participation matters--Clear grading criteria--Respected,3.0,0,1,1.0,1482580
39,non mandatory,5.0,ARCH2001,Amazing! Would watch his lectures again!,False,2023-12-02 12:12:06,2.0,A+,5.0,True,False,5.0,Amazing lectures --Inspirational--Hilarious,3.0,0,1,1.0,1482580
40,non mandatory,4.0,ARC101,"Easiest A+ ever. Literally just show up to class and listen to him ramble on about his ex-girlfriend and you'll get your A. He's super chill and comes out drinking with his students sometimes, but beware of the drinking games! Wish he taught other easy courses...",False,2023-11-17 19:33:25,1.0,A+,4.0,True,False,4.0,Amazing lectures --Hilarious--Graded by few things,-1.0,0,1,1.0,1482580
41,mandatory,5.0,ARCHITECTURE101,Best.teacher.ever,False,2023-11-16 03:00:20,1.0,A+,5.0,True,True,5.0,Amazing lectures --Inspirational--Hilarious,3.0,0,1,1.0,1482580
42,mandatory,5.0,ACH101,O Captain! My Captain!,False,2023-11-03 00:56:05,1.0,A+,5.0,False,False,5.0,Amazing lectures --Inspirational--Caring,3.0,0,0,1.0,1482580
43,mandatory,5.0,ACH101,I've learned so many life lessons in this entire course! ,False,2023-11-01 14:45:50,3.0,A-,5.0,True,False,5.0,Group projects--Amazing lectures --Inspirational,-1.0,0,1,1.0,1482580
44,,4.0,ARC101,"Great professor, not so great taste in women ",False,2023-11-01 13:36:27,3.0,,4.0,False,False,4.0,,3.0,0,0,1.0,1482580
45,mandatory,5.0,ARC101,Because I just do,False,2023-10-22 14:09:57,1.0,A+,5.0,True,False,5.0,Beware of pop quizzes--Caring--Lecture heavy,3.0,0,0,1.0,1482580
46,mandatory,5.0,ARCHI103,awesome proffessor ted mosby,False,2023-10-20 16:28:05,5.0,A+,5.0,True,True,5.0,Gives good feedback--Respected--Graded by few things,3.0,0,0,1.0,1482580
47,mandatory,5.0,ROBIN101,great info and knowledgeable. great group exercises with that chinese fellow. although i did notice some hiccups when explaining the ''erogenous zones''. do not trust him with that info.,False,2023-10-17 17:53:04,3.0,A+,5.0,False,False,5.0,Participation matters--Group projects--Lots of homework,3.0,0,0,1.0,1482580
48,non mandatory,5.0,ACH101,Professor ted mosby is the greatest but he dont know how to spell professor.,False,2023-09-26 10:47:32,4.0,A,5.0,False,False,5.0,Amazing lectures --Inspirational--Hilarious,-1.0,0,0,1.0,1482580
49,mandatory,5.0,ARCHITECTURE101,"Mr Mosby is so passionate about his subject, that even though he was in the wrong class, he explained everything about architecture so well. I would definitely attend more of his lectures if i could.





",False,2023-08-08 06:35:01,5.0,B+,5.0,True,False,5.0,Tough grader--Amazing lectures --Hilarious,3.0,0,0,1.0,1482580
50,non mandatory,5.0,ARC101,gotta love josh radnor,False,2023-08-08 06:27:26,5.0,A+,5.0,True,False,5.0,Amazing lectures --Inspirational--Hilarious,3.0,0,0,1.0,1482580
51,non mandatory,1.0,123,Idk,False,2023-08-04 16:28:57,2.0,B+,1.0,False,False,1.0,Amazing lectures --Hilarious--Respected,-1.0,0,0,1.0,1482580
52,non mandatory,5.0,LIFE101,"Professor Ted Mosby is just awesome! 
He care for his students, he's funny and he's good at teaching.
Plus, he talks about his life!",False,2023-07-10 14:51:09,2.0,A+,5.0,False,False,5.0,Amazing lectures --Gives good feedback--Inspirational,-1.0,0,0,1.0,1482580
53,non mandatory,5.0,123,"Thanks to Professor Mosby, I took another step into architecture, my role model.",False,2023-04-21 18:56:49,3.0,A+,5.0,False,False,5.0,Participation matters--Amazing lectures --Respected,-1.0,0,1,1.0,1482580
54,non mandatory,5.0,ARCHT101,Amazing teacher great sense of humor all in all just great guy,False,2023-04-02 11:56:14,1.0,A+,5.0,True,False,5.0,Amazing lectures --Hilarious--Caring,-1.0,0,0,1.0,1482580
55,mandatory,5.0,ACH101,I just wanna say that he is an excellent professor as well as an excellent person ,False,2023-03-18 08:59:30,3.0,A,5.0,False,False,5.0,Amazing lectures --Inspirational--Hilarious,-1.0,0,0,1.0,1482580
56,non mandatory,5.0,ECON,Ted Mosby is not a jerk,False,2023-03-15 20:43:39,1.0,A+,5.0,False,True,5.0,EXTRA CREDIT--Hilarious--Respected,-1.0,0,1,1.0,1482580
57,mandatory,5.0,ACCT202,Best of the Best! His favorite fruit is pineapple,False,2023-03-08 06:11:16,5.0,A+,5.0,True,False,5.0,Amazing lectures --Hilarious,3.0,0,0,1.0,1482580
58,mandatory,5.0,ARC101,"Awesome. The best architecture teacher  for the entire era. Architecture stuffs
",False,2023-03-02 03:30:12,1.0,A+,5.0,True,True,5.0,Inspirational--Hilarious--Beware of pop quizzes,3.0,0,0,1.0,1482580
59,mandatory,5.0,ECON101,"Way to many but uhms the other night, way to stick with it T-dawg.",False,2023-02-28 02:08:19,2.0,A+,5.0,True,False,5.0,Amazing lectures --Gives good feedback--Inspirational,-1.0,0,2,1.0,1482580
60,mandatory,5.0,ARC101,"Ted Mosby inspired me to become the architect I am today, I will never be able to pay him back in any way for the knowledge he bestowed upon me. I dream of a skyscraper designed by myself to join the New York city skyline alongside the majestic GNB tower, designed by Mosby himself.",False,2023-02-27 18:00:31,1.0,A-,5.0,False,False,5.0,Amazing lectures --Inspirational--Hilarious,-1.0,0,1,1.0,1482580
61,mandatory,5.0,ECON305,Awesome. Would take his class again if I could.,False,2023-02-05 17:34:20,3.0,Not sure yet,5.0,True,False,5.0,Amazing lectures --Hilarious--Respected,3.0,0,0,1.0,1482580
62,mandatory,5.0,1000ECON,This guy is the absolute GOAT!,False,2023-01-30 00:14:49,2.0,A+,5.0,True,False,5.0,Clear grading criteria--Gives good feedback--Inspirational,3.0,0,0,1.0,1482580
63,mandatory,5.0,HOWIMETYOMO,"me and other students went on a school trip to this bank called GNB, and then, he and a blonde guy asked us random questions. i loved that lecture",False,2023-01-29 21:26:10,1.0,A,5.0,True,True,5.0,Amazing lectures --Hilarious--Respected,3.0,0,1,1.0,1482580
64,mandatory,5.0,ARCHITECTURE101,"I remember the time we went on a trip to construction site of his building, then to his bar and his apartment. Great day. We also went to GNB and this weird blonde guy (Prof. Mosby's best friend I believe)  started giving us a presentation about Ewoks and sex lessons. Don't really know what that was about... But T-Dawg is the coolest professor ever",False,2023-01-28 18:18:59,1.0,A+,5.0,True,False,5.0,Amazing lectures --Gives good feedback--Caring,3.0,0,1,1.0,1482580
65,mandatory,5.0,ARCHITECTURE101,1,False,2023-01-28 17:04:41,3.0,B,5.0,False,False,5.0,Clear grading criteria--Hilarious--Lecture heavy,3.0,0,0,1.0,1482580
66,non mandatory,5.0,ACH101,"Professor Mosby took us out to his favorite bar, and even his apartment!",False,2023-01-26 16:15:39,3.0,A,5.0,True,False,5.0,Inspirational--Hilarious--Respected,3.0,0,1,1.0,1482580
67,mandatory,1.0,ARC101,Proffessor Mosby kept making fun of my name. I had to drop the course,False,2023-01-26 01:25:53,5.0,Drop/Withdrawal,1.0,True,False,1.0,Participation matters--Lots of homework--Beware of pop quizzes,-1.0,0,11,,1482580
68,mandatory,2.0,ARCHISEXTURE101,He is a great professor I would say if he knew how to spell professor. ,False,2023-01-24 16:28:41,4.0,A+,2.0,True,False,2.0,So many papers--Lecture heavy--Test heavy,-1.0,0,3,1.0,1482580
69,mandatory,5.0,ARCH101,"My favorite professor ever. I've learned to live, love and breathe architecture thanks to him - in fact, I changed majors after the revelation of a first lecture I had with him in Econ 305. ",False,2023-01-02 17:51:12,2.0,B+,5.0,True,False,5.0,,3.0,0,2,1.0,1482580
70,mandatory,5.0,ARC101,Prof Teddy Westside was Legen....wait for it.....dary!,False,2023-01-01 04:44:47,3.0,A+,5.0,True,False,5.0,Amazing lectures --Inspirational--Hilarious,3.0,0,1,1.0,1482580
71,mandatory,5.0,ARC101,HELLO PROF TED MOSBY I LUV UR ARCHITECTURE 101 CLASS >>> :)) ,False,2022-12-24 12:26:38,2.0,A,5.0,True,False,5.0,,3.0,0,0,1.0,1482580
72,mandatory,5.0,ROBIN101,"Quite difficult, but talked about penguins so that was awesome!! Loud classmate kept wanting the class to be moved outside. Passionate professor. Recommend 100%",False,2022-12-21 23:10:51,4.0,B-,5.0,False,False,5.0,Participation matters--Amazing lectures --Inspirational,-1.0,0,2,1.0,1482580
73,mandatory,5.0,ACH101,"Teddy westside has the coolest bestfriend everrrr.... Legend- ary
",False,2022-12-21 15:13:37,1.0,A,5.0,True,False,5.0,Amazing lectures --Hilarious--Caring,3.0,0,0,1.0,1482580
74,mandatory,5.0,ARC101,He is a great professor... But sometimes starts teaching in econ 101,False,2022-12-20 13:30:14,1.0,A+,5.0,True,True,5.0,Amazing lectures --Inspirational--Hilarious,3.0,0,0,1.0,1482580
75,mandatory,5.0,ROBIN101,Odd class but still one of my personal favorites during college. Love u Teddy Westside,False,2022-12-15 03:51:10,1.0,A+,5.0,True,False,5.0,Hilarious--Caring--Accessible outside class,-1.0,0,0,1.0,1482580
76,non mandatory,1.0,305101,t-dawg doesn't know a damn thing about economics,False,2022-12-09 07:03:22,1.0,A+,1.0,False,False,1.0,Get ready to read--Beware of pop quizzes--Lecture heavy,-1.0,0,2,,1482580
77,mandatory,5.0,1000ECON,He is the best professor ever and the funniest!,False,2022-11-30 17:19:27,1.0,A,5.0,True,False,5.0,Amazing lectures --Hilarious--Caring,3.0,0,0,1.0,1482580
78,non mandatory,5.0,1000ECON,"Such a good Architecture teacher, the only Professor to teach about MAGGIE",False,2022-11-10 16:10:38,2.0,A+,5.0,True,False,5.0,Amazing lectures --Inspirational--Hilarious,-1.0,0,1,1.0,1482580
79,,5.0,ACH101,A+++,False,2022-11-05 18:41:45,3.0,,5.0,False,False,5.0,Participation matters--Inspirational--Caring,,0,0,1.0,1482580
80,mandatory,1.0,ARC101,"He mocked my name on my first day and made me drop out of the class
He also mocked my name at a bar where I went to pick up my order",False,2022-11-04 19:41:44,1.0,Drop/Withdrawal,1.0,True,False,1.0,,3.0,0,3,,1482580
81,non mandatory,5.0,ARC101,Best professor ever! He really helped me get into architecture ,False,2022-10-25 12:17:28,1.0,A+,5.0,False,False,5.0,Hilarious--Caring--Respected,3.0,0,0,1.0,1482580
82,mandatory,5.0,ACH101,"He is the best and Ted mosby gives attention to his classes
",False,2022-10-02 06:27:58,2.0,A+,5.0,False,False,5.0,Amazing lectures --Gives good feedback--Respected,3.0,0,0,1.0,1482580
83,non mandatory,5.0,ARC101,Best prof ever!!!!,False,2022-09-30 14:57:37,1.0,A+,5.0,True,False,5.0,Hilarious,-1.0,0,0,1.0,1482580
84,mandatory,5.0,ECON305,"He was the BEST teacher , but he had a problem with me due to the way i write",False,2022-09-06 21:25:23,5.0,A,5.0,True,False,5.0,Amazing lectures --Inspirational--Hilarious,-1.0,0,0,1.0,1482580
85,mandatory,4.0,ACH101,"Idk man I heard he released snakes into the Arcadian, right before he blew it up.",False,2022-08-27 21:26:15,1.0,A+,4.0,True,False,4.0,Participation matters--Gives good feedback--Inspirational,-1.0,0,0,1.0,1482580
86,non mandatory,5.0,ARCHITECTURE101,Loved this class would so go back ,False,2022-08-22 05:05:50,2.0,A,5.0,True,False,5.0,Inspirational--Hilarious--Caring,3.0,0,0,1.0,1482580
87,mandatory,5.0,ACH101,Funny knowledegable professor who always had good insights about life to share with us. He knows alot about not just architecture but other cool topics too. Would take again for sure.,False,2022-08-18 16:16:02,3.0,A+,5.0,True,False,5.0,Amazing lectures --Inspirational--Respected,3.0,0,0,1.0,1482580
88,mandatory,5.0,ACH101,He is one of the best teacher's I have ever had. Miss you professor Mosby! ,False,2022-08-18 12:16:43,2.0,A,5.0,True,False,5.0,,3.0,0,0,1.0,1482580
89,Y,5.0,ARCH101,Learned so many lesson throughout the seasons,False,2022-08-16 01:39:24,2.0,,5.0,True,False,5.0,Amazing lectures --Hilarious--Inspirational,5.0,0,0,1.0,1482580
90,mandatory,5.0,ACCT202,Great Professor. Very Intelligent and helpful if something is confusing.,False,2022-08-14 14:37:14,3.0,A+,5.0,True,False,5.0,Tough grader--Amazing lectures --Beware of pop quizzes,3.0,0,0,1.0,1482580
91,non mandatory,4.0,ARC105,Best proffff,False,2022-08-06 18:10:54,2.0,A+,4.0,False,False,4.0,Get ready to read--Group projects--Amazing lectures ,3.0,0,0,1.0,1482580
92,non mandatory,5.0,ECON305,think he was in the wrong class but that sel-fish joke was HILARIOUS 10/10 would take ECON305 again ,False,2022-08-03 11:59:17,1.0,A+,5.0,False,False,5.0,Amazing lectures --Inspirational--Hilarious,,0,0,1.0,1482580
93,non mandatory,5.0,ACH101,"He's a funny guy, even though I once saw him talk to the empire state building ",False,2022-07-28 22:56:02,1.0,A+,5.0,True,False,5.0,Amazing lectures --Clear grading criteria--Hilarious,-1.0,0,0,1.0,1482580
94,mandatory,5.0,ARC101,T mos ,False,2022-07-23 14:45:35,1.0,A+,5.0,True,False,5.0,Inspirational--Hilarious--Respected,3.0,0,0,1.0,1482580
95,non mandatory,3.0,ECON305,"I think he was in the wrong class, but he was so inspirational that I dropped ECON to go to Architecture. You could say that I; Make Adjustments, Go Get It Energized (MAGGIE)",False,2022-07-14 02:29:25,1.0,Audit/No Grade,3.0,False,False,3.0,Get ready to read--Inspirational--Hilarious,-1.0,0,1,1.0,1482580
96,mandatory,5.0,ARC202,this professor was Legen whait for it Dary... Legendary,False,2022-07-11 23:48:43,3.0,A+,5.0,False,False,5.0,Participation matters--Inspirational--Hilarious,3.0,0,1,1.0,1482580
97,mandatory,5.0,1000ECON,truly an awesome teacher,False,2022-07-07 11:24:56,1.0,A+,5.0,True,False,5.0,Gives good feedback--Inspirational--Accessible outside class,3.0,0,0,1.0,1482580
98,non mandatory,4.0,ECON305,He talked about building the whole time but it was a pretty entertaining lecture. Think he was in the wrong class. ,False,2022-07-03 16:59:40,1.0,Not sure yet,4.0,True,False,4.0,Inspirational--Lecture heavy,-1.0,0,1,1.0,1482580
99,non mandatory,5.0,ARCH,10/10 will do again,False,2022-06-30 20:58:49,1.0,A+,5.0,True,False,5.0,Inspirational--Hilarious--Caring,-1.0,0,0,1.0,1482580
100,non mandatory,5.0,ARC101,"Best Prof ever, also his best friend is cool!! Also his Robin 101 is awesome!! ",False,2022-06-19 14:59:33,1.0,A+,5.0,True,False,5.0,Inspirational--Hilarious--Caring,-1.0,0,1,1.0,1482580
101,mandatory,5.0,ACH101,He is great,False,2022-06-17 01:41:53,1.0,A+,5.0,True,True,5.0,Get ready to read--EXTRA CREDIT--Inspirational,3.0,0,0,1.0,1482580
102,mandatory,1.0,ARCH101,"My name is Boyle Poo. This ""professor"" made fun of my sister. I can not change that fact that my family name is Poo, but I definitely can say, who is ""the turd"". No matter how he tries to hide it under that sausage costume.",False,2022-06-13 12:01:16,1.0,Rather not say,1.0,False,False,1.0,,-1.0,0,1,,1482580
103,non mandatory,5.0,ECON305,Legendary,False,2022-06-12 05:24:34,1.0,A+,5.0,True,False,5.0,Amazing lectures --Inspirational--Hilarious,-1.0,0,0,1.0,1482580
104,mandatory,5.0,ARC1101,Best lectures and very inspiring ,False,2022-06-08 09:54:52,3.0,A+,5.0,True,False,5.0,Amazing lectures --Inspirational--Hilarious,3.0,0,0,1.0,1482580
105,non mandatory,5.0,ARC101,Awesome professor,False,2022-05-29 00:16:25,1.0,A+,5.0,True,False,5.0,Hilarious--Caring--Respected,3.0,0,0,1.0,1482580
106,mandatory,5.0,123,I love you professor Ted Mosby!,False,2022-05-28 23:14:16,1.0,A+,5.0,False,False,5.0,Amazing lectures --Gives good feedback--Inspirational,-1.0,0,0,1.0,1482580
107,mandatory,5.0,ACCT202,"Ted Mosby has got to be the best professor I've ever had. He is highly inspirational, his tone itself makes me smile everytime I hear his voice.",False,2022-05-26 09:56:37,1.0,A+,5.0,True,True,5.0,Inspirational--Hilarious--Caring,3.0,0,0,1.0,1482580
108,,5.0,ECON3015,"T-Dawg was amazing, he made the greatest joke ever !! Shelfish... classic !",False,2022-05-25 09:50:03,4.0,,5.0,False,False,5.0,,,0,0,1.0,1482580
109,mandatory,5.0,ARCH101,Man's a legend,False,2022-05-23 11:40:58,1.0,A+,5.0,True,True,5.0,Gives good feedback--Inspirational--Beware of pop quizzes,-1.0,0,0,1.0,1482580
110,mandatory,5.0,ARC101,"Professor Mosby is the best professor i've ever had! he understood when i had something bad happen to me, and instead of letting me get off the hook for things i did he sat me down and talked to me. 8 hours later i knew how he and his wife met. best 8 hours of my life!",False,2022-05-06 11:29:28,5.0,A,5.0,False,False,5.0,Amazing lectures --Inspirational--Hilarious,3.0,0,0,1.0,1482580
111,mandatory,5.0,ARC101,"He took us the construction site of the new GNB headquarters, best field trip ever!",False,2022-05-05 22:08:50,5.0,A,5.0,True,False,5.0,Participation matters--Amazing lectures --Hilarious,-1.0,0,0,1.0,1482580
112,mandatory,5.0,ARC101,"Professor Mosby is the best!

Didn't get set homework for a month after a incident with cuk pu.

Even tho (according to Barney Stinson's blog) he is a tad lame but legen-wait-for-it-dary",False,2022-05-02 20:52:02,5.0,A+,5.0,False,False,5.0,Amazing lectures --Inspirational--Hilarious,3.0,0,0,1.0,1482580
113,non mandatory,4.0,321,told us on the first day of class that he loves us... ok?,False,2022-04-30 00:56:28,2.0,A-,4.0,False,False,4.0,Amazing lectures --Gives good feedback--Hilarious,3.0,0,0,1.0,1482580
114,mandatory,4.0,321,he aint a jerk,False,2022-04-28 15:26:13,3.0,A-,4.0,False,True,4.0,Tough grader--Hilarious--Caring,-1.0,0,0,1.0,1482580
115,mandatory,5.0,123,Hes the best,False,2022-04-28 14:48:06,5.0,A+,5.0,False,False,5.0,Amazing lectures --Hilarious--Accessible outside class,3.0,0,0,1.0,1482580
116,non mandatory,5.0,ARCH,"Best teacher I have ever known (I feel terrible for Cook Pu) but overall he's great, and don't for get M.A.G.G.I.E 
Make Adjustments Go Get It Energize",False,2022-04-28 05:39:32,3.0,A+,5.0,False,False,5.0,Amazing lectures --Hilarious--Lecture heavy,3.0,0,0,1.0,1482580
